time,open,high,low,close,ATR,EMA,EMA,MA,MA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-01-02T12:00:00Z,6.74,6.76,6.73,6.76,NaN,6.850187367,6.819135556,NaN,NaN,NaN,NaN,NaN,NaN,620,NaN,620,0,620,620,1
2020-01-02T12:15:00Z,6.75,6.76,6.75,6.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,935,NaN,1555,0,1555,1555,1
2020-01-02T12:30:00Z,6.76,6.76,6.76,6.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1355,NaN,2910,0,2910,2910,1
2020-01-02T12:45:00Z,6.76,6.76,6.76,6.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,255,NaN,3165,0,3165,3165,1
2020-01-02T13:00:00Z,6.76,6.76,6.76,6.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,3185,0,3185,3185,1
2020-01-02T13:15:00Z,6.75,6.78,6.75,6.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2685,NaN,5870,0,5870,5870,1
2020-01-02T13:30:00Z,6.78,6.78,6.77,6.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,670,NaN,6540,0,6540,6540,1
2020-01-02T13:45:00Z,6.76,6.76,6.75,6.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,895,NaN,7435,0,7435,7435,1
2020-01-02T14:00:00Z,6.75,6.75,6.72,6.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3070,NaN,10505,0,10505,10505,1
2020-01-02T14:15:00Z,6.74,6.75,6.73,6.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4705,NaN,15210,0,15210,15210,1
2020-01-02T14:30:00Z,6.74,6.74,6.73,6.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1870,NaN,17080,0,17080,17080,1
2020-01-02T14:45:00Z,6.74,6.75,6.74,6.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4640,NaN,21720,0,21720,21720,1
2020-01-02T15:00:00Z,6.74,6.74,6.74,6.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2620,NaN,24340,0,24340,24340,1
2020-01-02T15:15:00Z,6.74,6.74,6.74,6.74,0.012857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,NaN,24460,0,24460,24460,1
2020-01-02T15:30:00Z,6.74,6.74,6.74,6.74,0.011938776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440,NaN,24900,0,24900,24900,1
2020-01-02T15:45:00Z,6.74,6.74,6.73,6.73,0.011800292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,605,NaN,25505,0,25505,25505,1
2020-01-02T16:00:00Z,6.73,6.73,6.73,6.73,0.010957414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,26505,0,26505,26505,1
2020-01-02T16:15:00Z,6.72,6.73,6.72,6.73,0.010889027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,765,NaN,27270,0,27270,27270,1
2020-01-02T16:30:00Z,6.73,6.73,6.73,6.73,0.010111239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110,NaN,27380,0,27380,27380,1
2020-01-02T16:45:00Z,6.73,6.74,6.73,6.74,0.010103294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,815,NaN,28195,0,28195,28195,1
2020-01-02T17:00:00Z,6.74,6.74,6.72,6.72,0.010810201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1415,NaN,29610,0,29610,29610,1
2020-01-02T17:15:00Z,6.73,6.73,6.72,6.72,0.01075233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,340,NaN,29950,0,29950,29950,1
2020-01-02T17:30:00Z,6.72,6.72,6.71,6.71,0.010698592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1360,NaN,31310,0,31310,31310,1
2020-01-02T17:45:00Z,6.7,6.72,6.7,6.72,0.011362978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,830,NaN,32140,0,32140,32140,1
2020-01-02T18:00:00Z,6.72,6.73,6.71,6.72,0.011979908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1735,NaN,33875,0,33875,33875,1
2020-01-02T18:15:00Z,6.71,6.72,6.7,6.72,0.012552772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1335,NaN,35210,0,35210,35210,1
2020-01-02T18:30:00Z,6.72,6.72,6.71,6.71,0.012370431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,735,NaN,35945,0,35945,35945,1
2020-01-02T18:45:00Z,6.71,6.72,6.7,6.72,0.0129154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2665,NaN,38610,0,38610,38610,1
2020-01-02T19:30:00Z,6.71,6.71,6.71,6.71,0.012707157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7645,NaN,46255,0,46255,46255,1
2020-01-02T19:45:00Z,6.71,6.73,6.71,6.72,0.013228075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1015,NaN,47270,0,47270,47270,1
2020-01-02T20:00:00Z,6.72,6.72,6.72,6.72,0.012283212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,585,NaN,47855,0,47855,47855,1
2020-01-02T20:30:00Z,6.72,6.72,6.71,6.71,0.012120126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,870,NaN,48725,0,48725,48725,1
2020-01-02T20:45:00Z,6.72,6.72,6.7,6.71,0.012682974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505,NaN,49230,0,49230,49230,1
2020-01-03T12:00:00Z,6.77,6.79,6.76,6.77,0.017491333,6.824698755,6.809214142,NaN,NaN,NaN,NaN,NaN,NaN,1550,NaN,NaN,49230,1550,NaN,NaN
2020-01-03T12:15:00Z,6.76,6.76,6.75,6.76,0.017670523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720,NaN,NaN,49230,3270,NaN,NaN
2020-01-03T12:30:00Z,6.76,6.76,6.76,6.76,0.016408343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,935,NaN,NaN,49230,4205,NaN,NaN
2020-01-03T12:45:00Z,6.76,6.76,6.74,6.74,0.01666489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2400,NaN,NaN,49230,6605,NaN,NaN
